wpdx_id,lat_deg,lon_deg,status_clean,pop_served_500m,install_year,is_urban,water_source_clean,water_tech_clean,geom_wkt,cluster_id
6GFP7V7R+9P4,-0.7366117,34.8918233,"Functional, not in use",965.7169094085693,2010,f,Protected Well,Public Tapstand,POINT(34.8918233 -0.7366117),
6GFP7V8H+G7G,-0.7336833,34.8782183,"Functional, not in use",951.1768527030945,,f,Protected Well,Public Tapstand,POINT(34.8782183 -0.7336833),
6GFP7V9H+M6R,-0.7307583,34.8780033,"Functional, needs repair",1008.2402830123901,,f,Protected Well,Public Tapstand,POINT(34.8780033 -0.7307583),
6GFP7VCH+Q63,-0.7281217,34.8780317,"Functional, not in use",943.3463840484619,,f,Protected Well,Public Tapstand,POINT(34.8780317 -0.7281217),
6GFP7VFG+WVQ,-0.7251607,34.8772298,"Functional, not in use",901.6608934402466,,f,Protected Well,Public Tapstand,POINT(34.8772298 -0.7251607),
6GFP7VFH+67R,-0.7268877,34.8781483,"Functional, not in use",946.6711387634277,2018,f,Protected Well,Public Tapstand,POINT(34.8781483 -0.7268877),
6GFP7VFH+8CH,-0.7266767,34.8786083,"Functional, needs repair",930.8258323669434,,f,Protected Well,Public Tapstand,POINT(34.8786083 -0.7266767),
6GFP7VFR+27H,-0.7275317,34.8906083,"Functional, not in use",830.7802867889404,,f,Protected Well,Public Tapstand,POINT(34.8906083 -0.7275317),
6GFP7VG4+23V,-0.7248909,34.8551646,"Functional, not in use",1025.023334980011,,f,Protected Well,Public Tapstand,POINT(34.8551646 -0.7248909),
6GFP7VHG+95G,-0.7215617,34.8754567,"Functional, not in use",779.2081022262573,,f,Protected Well,Public Tapstand,POINT(34.8754567 -0.7215617),
6GFP7VJ5+PQ8,-0.7182217,34.8594467,"Functional, not in use",918.5616788864136,,f,Protected Well,Public Tapstand,POINT(34.8594467 -0.7182217),
6GFPXPV8+XWR,-0.00502302,34.71726531,Non-Functional,1058.1098594665527,,f,Protected Well,,POINT(34.71726531 -0.00502302),196
6GFP7VJC+JFQ,-0.7184017,34.87124,"Functional, not in use",778.6569957733154,,f,Protected Well,Public Tapstand,POINT(34.87124 -0.7184017),
6GFP7VJF+X5F,-0.71746,34.8729317,"Functional, not in use",776.6051874160767,2020,f,Protected Well,Public Tapstand,POINT(34.8729317 -0.71746),
6GFP7VM6+6JW,-0.7168853,34.8615791,"Functional, not in use",881.2068772315979,,f,Protected Well,Public Tapstand,POINT(34.8615791 -0.7168853),
6GFP7VM6+Q8W,-0.7155133,34.8608167,"Functional, not in use",894.1722340583801,,f,Protected Well,Public Tapstand,POINT(34.8608167 -0.7155133),
6GFP7VMC+Q6X,-0.7155059,34.8706019,"Functional, not in use",806.4760575294495,,f,Protected Well,Public Tapstand,POINT(34.8706019 -0.7155059),
6GFP7VPM+VJ9,-0.7128367,34.8841167,"Functional, not in use",656.2809076309204,,f,Protected Well,Public Tapstand,POINT(34.8841167 -0.7128367),
6GFP7VQ4+R98,-0.7104584,34.8559566,"Functional, not in use",879.7182788848877,,f,Protected Well,Public Tapstand,POINT(34.8559566 -0.7104584),
6GFP7VRM+7GX,-0.7092567,34.88387,"Functional, not in use",735.206383228302,,f,Protected Well,Public Tapstand,POINT(34.88387 -0.7092567),
6GFP7VRV+J3H,-0.7084283,34.8927433,"Functional, not in use",928.6325306892395,,f,Protected Well,Public Tapstand,POINT(34.8927433 -0.7084283),
6GFP7VV7+775,-0.7068633,34.8632367,"Functional, not in use",917.7487268447876,,f,Protected Well,Public Tapstand,POINT(34.8632367 -0.7068633),
6GFP7VVV+36F,-0.7073051,34.8930527,"Functional, not in use",917.9598135948181,,f,Protected Well,Public Tapstand,POINT(34.8930527 -0.7073051),
6GFP7VVV+CCQ,-0.7064183,34.8935983,"Functional, not in use",936.807755947113,1999,f,Protected Well,Public Tapstand,POINT(34.8935983 -0.7064183),
6GFP7VWM+2Q8,-0.7049633,34.8844417,"Functional, not in use",792.6587138175964,,f,Protected Well,Public Tapstand,POINT(34.8844417 -0.7049633),
6GFP7VWM+HH7,-0.7035883,34.8839233,"Functional, not in use",788.4331464767456,,f,Protected Well,Public Tapstand,POINT(34.8839233 -0.7035883),
6GFP7VWX+P4R,-0.70315,34.89775,"Functional, not in use",981.8704051971436,,f,Protected Well,Public Tapstand,POINT(34.89775 -0.70315),
6GFP7VX8+J62,-0.7009788,34.8655254,"Functional, not in use",718.0966265201569,,f,Protected Well,Public Tapstand,POINT(34.8655254 -0.7009788),
6GFP7VX8+JR7,-0.700975,34.8670467,"Functional, not in use",692.6593155860901,2005,f,Protected Well,Public Tapstand,POINT(34.8670467 -0.700975),
6GFP7VXG+HR3,-0.7011233,34.8770417,"Functional, not in use",581.5605466365814,2028,f,Protected Well,Public Tapstand,POINT(34.8770417 -0.7011233),
6GFP7VXH+5HQ,-0.7020267,34.8789983,"Functional, not in use",641.7697188854218,,f,Protected Well,Public Tapstand,POINT(34.8789983 -0.7020267),
6GFP7VXV+69P,-0.7019033,34.8934433,"Functional, not in use",852.5673182010651,2000,f,Protected Well,Public Tapstand,POINT(34.8934433 -0.7019033),
6GFP7W28+3JV,-0.749765,34.91656,"Functional, not in use",978.4169044494629,2014,f,Undefined Well,Public Tapstand,POINT(34.91656 -0.749765),
6GFP7W28+78R,-0.7492633,34.91577,"Functional, needs repair",989.307731628418,,f,Protected Well,Public Tapstand,POINT(34.91577 -0.7492633),328
6GFP7W2G+6Q9,-0.7494667,34.9269783,"Functional, needs repair",637.959089756012,1990,f,Protected Well,Public Tapstand,POINT(34.9269783 -0.7494667),
6GFP7W36+C4J,-0.7464133,34.9102717,"Functional, needs repair",920.3747034072876,,f,Protected Well,Public Tapstand,POINT(34.9102717 -0.7464133),328
6GFP7W3H+V92,-0.7453667,34.928385,"Functional, not in use",568.3285114765167,2019,f,Protected Well,Public Tapstand,POINT(34.928385 -0.7453667),
6GFP7W46+WFR,-0.74263,34.9111383,"Functional, not in use",877.9588632583618,2020,f,Protected Well,Public Tapstand,POINT(34.9111383 -0.74263),
6GFP7W48+JPW,-0.7433842,34.9168293,"Functional, needs repair",884.3510241508484,2015,f,Borehole/Tubewell,,POINT(34.9168293 -0.7433842),328
6GFP7W49+P9V,-0.743145,34.91843,"Functional, needs repair",839.8615522384644,,f,Protected Well,Public Tapstand,POINT(34.91843 -0.743145),328
